17.2627 16.7033 16.1864 15.7162 15.2971 14.9332 14.6287
14.3875 14.2127 14.1067 14.0712 14.1067 14.2127 14.3875
14.6287 14.9332 15.2971 15.7162 16.1864 16.7033 17.2627
16.4924 15.9060 15.3623 14.8661 14.4222 14.0357 13.7113
13.4536 13.2665 13.1529 13.1149 13.1529 13.2665 13.4536
13.7113 14.0357 14.4222 14.8661 15.3623 15.9060 16.4924
15.8114 15.1987 14.6287 14.1067 13.6382 13.2288 12.8841
12.6095 12.4097 12.2882 12.2474 12.2882 12.4097 12.6095
12.8841 13.2288 13.6382 14.1067 14.6287 15.1987 15.8114
15.2315 14.5945 14.0000 13.4536 12.9615 12.5300 12.1655
11.8743 11.6619 11.5326 11.4891 11.5326 11.6619 11.8743
12.1655 12.5300 12.9615 13.4536 14.0000 14.5945 15.2315
14.7648 14.1067 13.4907 12.9228 12.4097 11.9583 11.5758
11.2694 11.0454 10.9087 10.8628 10.9087 11.0454 11.2694
11.5758 11.9583 12.4097 12.9228 13.4907 14.1067 14.7648
14.4222 13.7477 13.1149 12.5300 12.0000 11.5326 11.1355
10.8167 10.5830 10.4403 10.3923 10.4403 10.5830 10.8167
11.1355 11.5326 12.0000 12.5300 13.1149 13.7477 14.4222
14.2127 13.5277 12.8841 12.2882 11.7473 11.2694 10.8628
10.5357 10.2956 10.1489 10.0995 10.1489 10.2956 10.5357
10.8628 11.2694 11.7473 12.2882 12.8841 13.5277 14.2127
14.1421 13.4536 12.8062 12.2066 11.6619 11.1803 10.7703
10.4403 10.1980 10.0499 10.0000 10.0499 10.1980 10.4403
10.7703 11.1803 11.6619 12.2066 12.8062 13.4536 14.1421
14.2127 13.5277 12.8841 12.2882 11.7473 11.2694 10.8628
10.5357 10.2956 10.1489 10.0995 10.1489 10.2956 10.5357
10.8628 11.2694 11.7473 12.2882 12.8841 13.5277 14.2127
14.4222 13.7477 13.1149 12.5300 12.0000 11.5326 11.1355
10.8167 10.5830 10.4403 10.3923 10.4403 10.5830 10.8167
11.1355 11.5326 12.0000 12.5300 13.1149 13.7477 14.4222
14.7648 14.1067 13.4907 12.9228 12.4097 11.9583 11.5758
11.2694 11.0454 10.9087 10.8628 10.9087 11.0454 11.2694
11.5758 11.9583 12.4097 12.9228 13.4907 14.1067 14.7648
15.2315 14.5945 14.0000 13.4536 12.9615 12.5300 12.1655
11.8743 11.6619 11.5326 11.4891 11.5326 11.6619 11.8743
12.1655 12.5300 12.9615 13.4536 14.0000 14.5945 15.2315
15.8114 15.1987 14.6287 14.1067 13.6382 13.2288 12.8841
12.6095 12.4097 12.2882 12.2474 12.2882 12.4097 12.6095
12.8841 13.2288 13.6382 14.1067 14.6287 15.1987 15.8114
16.4924 15.9060 15.3623 14.8661 14.4222 14.0357 13.7113
13.4536 13.2665 13.1529 13.1149 13.1529 13.2665 13.4536
13.7113 14.0357 14.4222 14.8661 15.3623 15.9060 16.4924
17.2627 16.7033 16.1864 15.7162 15.2971 14.9332 14.6287
14.3875 14.2127 14.1067 14.0712 14.1067 14.2127 14.3875
14.6287 14.9332 15.2971 15.7162 16.1864 16.7033 17.2627
18.1108 17.5784 17.0880 16.6433 16.2481 15.9060 15.6205
15.3948 15.2315 15.1327 15.0997 15.1327 15.2315 15.3948
15.6205 15.9060 16.2481 16.6433 17.0880 17.5784 18.1108
19.0263 18.5203 18.0555 17.6352 17.2627 16.9411 16.6733
16.4621 16.3095 16.2173 16.1864 16.2173 16.3095 16.4621
16.6733 16.9411 17.2627 17.6352 18.0555 18.5203 19.0263
20.0000 19.5192 19.0788 18.6815 18.3303 18.0278 17.7764
17.5784 17.4356 17.3494 17.3205 17.3494 17.4356 17.5784
17.7764 18.0278 18.3303 18.6815 19.0788 19.5192 20.0000
21.0238 20.5670 20.1494 19.7737 19.4422 19.1572 18.9209
18.7350 18.6011 18.5203 18.4932 18.5203 18.6011 18.7350
18.9209 19.1572 19.4422 19.7737 20.1494 20.5670 21.0238
22.0907 21.6564 21.2603 20.9045 20.5913 20.3224 20.0998
19.9249 19.7990 19.7231 19.6977 19.7231 19.7990 19.9249
20.0998 20.3224 20.5913 20.9045 21.2603 21.6564 22.0907
22.8692 22.5389 22.2486 22.0000 21.7715 21.5174 21.3073
